gid,name,label,municipio,departamento,year,predicted_ha,official_ha,ratio,pred_oof_ha,pred_density,official_density,oof_px,canvas_px,oof_share_of_canvas,canvas_share_hint,model_rank,official_rank,in_ranking
COL.12.8_2,Curumaní,Curumaní,Curumaní,Cesar,2019,,,,,,,0,16349,,,,,False
COL.23.9_2,Convención,Convención,Convención,NortedeSantander,2019,923.0076471388761,2018.0,0.45738733753165317,808.3689460425416,0.012810682815379965,0.01591789991843798,1577529,1801246,0.8757987526412272,72049.84,7.0,6.0,True
COL.23.12_2,ElCarmen,El Carmen,ElCarmen,NortedeSantander,2019,225.83540904121008,1156.82,0.19522087190851653,182.67164437427724,0.004332058518530363,0.001199872216563442,1054185,1303280,0.8088706954760297,52131.200000000004,9.0,8.0,True
COL.23.13_2,ElTarra,El Tarra,ElTarra,NortedeSantander,2019,6170.247896913997,5724.83,1.0778045630899078,3798.8705746797755,0.09528869456511796,0.08123765568255757,996674,1618830,0.6156755187388423,64753.200000000004,1.0,1.0,True
COL.23.16_2,Hacarí,Hacarí,Hacarí,NortedeSantander,2019,1184.0966209822932,583.99,2.027597426295473,994.2162673905235,0.03190279872976582,0.013612929950413966,779098,927894,0.839641165909037,37115.76,4.0,7.0,True
COL.23.19_2,LaPlayadeBelén,La Playa de Belén,LaPlayadeBelén,NortedeSantander,2019,,,,,,,0,125042,,,,,False
COL.23.24_2,Ocaña,Ocaña,Ocaña,NortedeSantander,2019,16.25096132987528,47.73,0.3404768768044266,16.25096132987528,0.005091089500719064,0.0008592972222773175,79801,79801,1.0,3192.04,8.0,9.0,True
COL.23.27_2,PuertoSantander,Puerto Santander,PuertoSantander,NortedeSantander,2019,,,,,,,0,88741,,,,,False
COL.23.30_2,SanCalixto,San Calixto,SanCalixto,NortedeSantander,2019,1228.3755202465022,1130.19,1.0868752335859477,849.2760759868637,0.026596228132946167,0.02500750724484854,798305,1154652,0.6913814725129303,46186.08,5.0,5.0,True
COL.23.32_2,SanJosédeCúcuta,San José de Cúcuta,SanJosédeCúcuta,NortedeSantander,2019,,,,,,,0,466534,,,,,False
COL.23.35_2,Sardinata,Sardinata,Sardinata,NortedeSantander,2019,2191.4046972694873,6515.98,0.3363123731609808,1882.2511573804484,0.034936235166710995,0.06717839838779699,1346919,1568146,0.8589244878984482,62725.840000000004,3.0,3.0,True
COL.23.36_2,Teorama,Teorama,Teorama,NortedeSantander,2019,2226.611774763657,3953.83,0.5631531387954609,1700.7039533465777,0.023893996622317785,0.04656262806318293,1779426,2329677,0.7638080300402159,93187.08,6.0,4.0,True
COL.23.37_2,Tibú,Tibú,Tibú,NortedeSantander,2019,16097.736695135804,19892.71,0.8092279380303541,11566.375029080766,0.06045884838295213,0.07963679772306198,4782747,6656485,0.7185093934711788,266259.4,2.0,2.0,True
