gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,pred_oof_ha,pred_density,official_density,oof_px,canvas_px,oof_share_of_canvas,canvas_share_hint,model_rank,official_rank,in_ranking
COL.12.8_2,Curumaní,Curumaní,Cesar,2021,,,,,,,0,16349,,,,,False
COL.23.9_2,Convención,Convención,NortedeSantander,2021,1332.1533075130894,2004.46,0.6645946077811926,1166.698205046849,0.0184893305455375,0.01949887215430653,1577529,1801246,0.8757987526412272,72049.84,7.0,6.0,True
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2021,240.36281999595613,887.6,0.2708008337043219,194.42244137670872,0.0046107286998180765,0.0009337360299641724,1054185,1303280,0.8088706954760297,52131.200000000004,9.0,8.0,True
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2021,6933.1443186697,6248.08,1.1096439736158468,4268.567224888224,0.10707029642812554,0.09314638705815384,996674,1618830,0.6156755187388423,64753.200000000004,1.0,1.0,True
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2021,1194.195467638511,531.94,2.2449815160328437,1002.6956747712869,0.03217488925562917,0.013103979115042875,779098,927894,0.839641165909037,37115.76,4.0,7.0,True
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2021,,,,,,,0,125042,,,,,False
COL.23.24_2,Ocaña,Ocaña,NortedeSantander,2021,21.720765903281283,24.24,0.896071200630416,21.72076590328128,0.006804665951329332,0.0,79801,79801,1.0,3192.04,8.0,9.0,True
COL.23.27_2,PuertoSantander,PuertoSantander,NortedeSantander,2021,,,,,,,0,88741,,,,,False
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2021,1485.670406918421,965.93,1.538072538298242,1027.1649936041422,0.0321670600085225,0.022237745337535666,798305,1154652,0.6913814725129303,46186.08,5.0,5.0,True
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2021,,,,,,,0,466534,,,,,False
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2021,3477.1220749311897,5135.03,0.6771376359887264,2986.5852975706616,0.055433647041333994,0.056112736289009556,1346919,1568146,0.8589244878984482,62725.840000000004,3.0,3.0,True
COL.23.36_2,Teorama,Teorama,NortedeSantander,2021,2767.441442711475,3714.85,0.7449672107114621,2113.7939966091044,0.02969769460220746,0.0433781187687209,1779426,2329677,0.7638080300402159,93187.08,6.0,4.0,True
COL.23.37_2,Tibú,Tibú,NortedeSantander,2021,21569.827173964895,22229.6,0.9703200765630015,15498.123440043666,0.08101057530350063,0.09044979336103018,4782747,6656485,0.7185093934711788,266259.4,2.0,2.0,True
