gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio
COL.23.9_2,Convención,Convención,NortedeSantander,2023,1161.4461364927888,2034.35,0.5709175591676894
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2023,47.24502293631434,874.96,0.05399678035146103
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2023,6687.239313039184,6864.19,0.9742211845883031
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2023,1134.437082295418,824.39,1.3760927258887394
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2023,47.16268525674939,,
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2023,1980.3296036095917,1173.85,1.687038040302928
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2023,261.0169098673761,,
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2023,2461.242741235793,4299.81,0.5724073252622308
COL.23.36_2,Teorama,Teorama,NortedeSantander,2023,3542.040565848649,3956.28,0.8952957237224485
COL.23.37_2,Tibú,Tibú,NortedeSantander,2023,22171.214009789528,23029.68,0.9627234946290842
