gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,nowcast,ref_ha,change_dir,ref_year
COL.23.9_2,Convención,Convención,NortedeSantander,2023,1261.459232519865,2034.35,0.6200797466118736,True,1011.8279500786961,up,2024
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2023,16.022136924862863,874.96,0.01831185074159146,True,62.085823445916176,down,2024
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2023,10201.525285643638,6864.19,1.4861950624390698,True,4950.3705288238825,up,2024
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2023,325.1070356500149,824.39,0.39436072204904826,True,791.0583103325963,down,2024
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2023,3.328714891076088,,,True,1.1527332231402398,up,2024
COL.23.24_2,Ocaña,Ocaña,NortedeSantander,2023,1.602339029610157,9.35,0.1713731582470756,True,,new,2024
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2023,1841.8943933272362,1173.85,1.5691054166437248,True,1378.218023850918,up,2024
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2023,191.3273182913661,,,True,221.15951371341944,stable,2024
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2023,3986.9743527135256,4299.81,0.9272443091005242,True,2207.8124310013654,up,2024
COL.23.36_2,Teorama,Teorama,NortedeSantander,2023,3563.73908136636,3956.28,0.9007802990097667,True,2124.7843975013493,up,2024
COL.23.37_2,Tibú,Tibú,NortedeSantander,2023,34495.07416906804,23029.68,1.4978529518893895,True,18417.266819359513,up,2024
